Title,Genre
Twelfth Night,Comedy
Alls Well That Ends Well,Comedy
Antony and Cleopatra,Tragedy
As You Like It,Comedy
Comedy of Errors,Comedy
Coriolanus,Tragedy
Cymbeline,History
Hamlet,Tragedy
Henry IV Part I,History
Henry IV Part II,History
Henry V,History
Henry VI Part I,History
Henry VI Part II,History
Henry VI Part III,History
Henry VIII,History
Julius Caesar,Tragedy
King John,History
King Lear,Tragedy
Lovers Complaint,Poem
Loves Labours Lost,Comedy
Macbeth,Tragedy
Measure for Measure,Comedy
Merchant of Venice,Comedy
Merry Wives of Windsor,Comedy
Midsummer Nights Dream,Comedy
Much Ado about Nothing,Comedy
Othello,Tragedy
Passionate Pilgrim,Poem
Pericles,History
Phoenix and the Turtle,Poem
Rape of Lucrece,Poem
Richard II,History
Richard III,History
Romeo and Juliet,Tragedy
Sonnets,Sonnet
Taming of the Shrew,Comedy
Tempest,Comedy
Timon of Athens,Tragedy
Titus Andronicus,Tragedy
Troilus and Cressida,Tragedy
Two Gentlemen of Verona,Comedy
Venus and Adonis,Poem
The Winters Tale,Comedy
